epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,3006.69,1.54818,1.081,0.93436,0.46115,0.3367,0.32075,0.17621,1.47871,1.0106,0.90043,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3049.24,1.54445,1.07489,0.93354,0.44762,0.3397,0.32239,0.17655,1.47677,1.00875,0.89973,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3091.25,1.55287,1.07796,0.93199,0.4395,0.34381,0.32126,0.17699,1.46799,1.00746,0.8981,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3133.52,1.54819,1.08014,0.93163,0.44921,0.34209,0.32223,0.1769,1.47181,1.0074,0.89929,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3175.65,1.55464,1.07676,0.9314,0.44458,0.34481,0.32118,0.17609,1.47705,1.0096,0.89899,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3217.78,1.54247,1.07261,0.92975,0.45516,0.33804,0.32028,0.17555,1.48307,1.00837,0.89986,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3260.16,1.54654,1.07069,0.92951,0.45047,0.34171,0.32184,0.177,1.47215,1.00546,0.89939,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3302.42,1.53735,1.06766,0.9268,0.44446,0.34699,0.32337,0.17749,1.48316,1.00831,0.90137,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3344.27,1.54065,1.06737,0.92693,0.44305,0.34895,0.32262,0.17666,1.48113,1.00648,0.90044,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3386.62,1.54309,1.06544,0.92852,0.44749,0.34659,0.32359,0.17694,1.47914,1.00453,0.90079,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3428.58,1.54394,1.06749,0.92803,0.45123,0.34489,0.32105,0.17651,1.46813,1.00318,0.89836,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3470.69,1.53692,1.06435,0.92794,0.44279,0.34459,0.32192,0.1762,1.47181,1.00402,0.89893,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3512.69,1.53118,1.05615,0.92743,0.44517,0.34773,0.32237,0.17649,1.46242,1.00049,0.89797,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3554.96,1.52976,1.05289,0.92573,0.44563,0.35001,0.32355,0.17741,1.45821,0.99929,0.89673,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3597.08,1.53029,1.05516,0.9251,0.45674,0.34363,0.32411,0.178,1.45992,0.99827,0.89679,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
