epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,2485.93,1.42527,0.94381,0.90719,0.51144,0.38738,0.38112,0.21576,1.3834,0.93435,0.88187,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2529.84,1.42675,0.93951,0.90701,0.51524,0.39131,0.38182,0.21592,1.3632,0.93048,0.87938,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2573.3,1.4174,0.9341,0.90651,0.51963,0.39073,0.38294,0.21572,1.38119,0.9288,0.8794,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2616.9,1.41335,0.93394,0.90667,0.50919,0.39133,0.38268,0.21413,1.38573,0.93352,0.88003,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2660.49,1.41682,0.92896,0.90403,0.51919,0.39287,0.38435,0.21804,1.37275,0.92682,0.87837,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2704.39,1.40506,0.92235,0.90131,0.52832,0.38667,0.38137,0.21637,1.3665,0.92724,0.87857,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2747.87,1.41087,0.92553,0.90259,0.51183,0.39562,0.38602,0.21986,1.36275,0.92112,0.8785,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2791.47,1.40207,0.91402,0.90181,0.51744,0.39259,0.3863,0.21972,1.37207,0.92327,0.8789,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2835.09,1.40559,0.91811,0.90309,0.5172,0.39618,0.38633,0.21968,1.36086,0.92434,0.87735,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2878.97,1.39544,0.90872,0.8999,0.51591,0.3957,0.38816,0.21992,1.36678,0.92286,0.87806,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2922.65,1.40365,0.91862,0.90073,0.51821,0.39663,0.38595,0.21847,1.36916,0.92444,0.87858,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2966.27,1.39172,0.90612,0.90019,0.50781,0.3992,0.38697,0.21869,1.36435,0.91995,0.87769,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3009.75,1.38642,0.90621,0.90106,0.5231,0.39843,0.38584,0.21747,1.37901,0.92688,0.88023,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3053.29,1.38684,0.90097,0.89855,0.51467,0.39887,0.38756,0.2187,1.36798,0.91966,0.87806,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3096.66,1.38313,0.89811,0.89965,0.51445,0.40386,0.39091,0.22156,1.36037,0.91616,0.87793,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3140.21,1.38365,0.90107,0.90147,0.52368,0.40049,0.38897,0.22089,1.36436,0.91884,0.8777,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3183.91,1.38732,0.89708,0.8984,0.52378,0.39632,0.39034,0.22095,1.35719,0.91738,0.87748,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3227.6,1.37909,0.8914,0.89709,0.52405,0.39601,0.3879,0.21951,1.36873,0.91845,0.87883,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3271.29,1.38501,0.89545,0.89629,0.51273,0.40023,0.38786,0.21958,1.36203,0.92215,0.87773,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3315.17,1.37505,0.88962,0.89553,0.51601,0.40331,0.38944,0.22102,1.35647,0.91798,0.87667,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3359.08,1.3721,0.88453,0.8954,0.51977,0.39879,0.39045,0.22161,1.3576,0.91857,0.87673,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3402.83,1.3698,0.88449,0.89398,0.51106,0.40625,0.39225,0.22147,1.36209,0.91986,0.87696,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3446.18,1.36634,0.87937,0.89287,0.51737,0.40325,0.39236,0.22277,1.35337,0.91524,0.87528,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3489.9,1.36469,0.87613,0.89398,0.5214,0.40209,0.39057,0.22121,1.35936,0.91666,0.87568,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3533.35,1.35968,0.87478,0.89168,0.51402,0.40584,0.39077,0.22037,1.36304,0.91921,0.87627,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3577.57,1.3732,0.88031,0.89503,0.51543,0.39677,0.39119,0.22162,1.35735,0.91888,0.8755,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
